HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,30BXRYBRP6O7FW4ZE5RHXSKHO8DWHZ,A31R0K15KDEZKN,Approved,Mon Jun 29 12:46:36 PDT 2020,Mon Jun 29 13:44:21 PDT 2020,Thu Jul 02 13:44:21 PDT 2020,Tue Jun 30 01:46:12 PDT 2020,,,3465,100% (1/1),100% (1/1),100% (1/1),ixyrjyCCKeBGU8PmAAAM,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,32KTQ2V7RF6IVES2CRX2BDK27TS9MW,A1V1JNPU0KOA3X,Approved,Mon Jun 29 11:32:33 PDT 2020,Mon Jun 29 12:01:15 PDT 2020,Thu Jul 02 12:01:15 PDT 2020,Tue Jun 30 01:46:12 PDT 2020,,,1722,100% (5/5),100% (2/2),100% (2/2),5kA6MYBPGWx07aGdAAAF,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,34BBWHLWHC27BRFJKN92X4LWOLSWIS,A2FOYHZ7HOFKBI,Approved,Mon Jun 29 14:04:52 PDT 2020,Mon Jun 29 14:27:55 PDT 2020,Thu Jul 02 14:27:55 PDT 2020,Tue Jun 30 01:46:12 PDT 2020,,,1383,100% (1/1),100% (1/1),100% (1/1),7hgSiviQREgkdxjkAAAQ,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,34PGFRQONQ2362ZP25U2950W10HWJ4,AGINYEAR8CC2Y,Approved,Mon Jun 29 12:26:45 PDT 2020,Mon Jun 29 12:54:54 PDT 2020,Thu Jul 02 12:54:54 PDT 2020,Tue Jun 30 01:46:12 PDT 2020,,,1689,100% (1/1),100% (1/1),100% (1/1),6ZKgkg8Yt0fmuY9xAAAI,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,36H9ULYP64L1VGDUCGK25HEW6Z7JFD,A3KES9PLKHHIRI,Approved,Mon Jun 29 13:12:42 PDT 2020,Mon Jun 29 14:50:10 PDT 2020,Thu Jul 02 14:50:10 PDT 2020,Tue Jun 30 01:46:13 PDT 2020,,,5848,100% (1/1),100% (1/1),100% (1/1),e0qtl2QvcNadEIRHAAAR,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,37C0GNLMHHUS91KR1RVN8D668GOD67,A1B5SSGMTAQ9B5,Approved,Mon Jun 29 14:31:08 PDT 2020,Mon Jun 29 15:07:18 PDT 2020,Thu Jul 02 15:07:18 PDT 2020,Tue Jun 30 01:46:13 PDT 2020,,,2170,100% (3/3),100% (2/2),100% (1/1),jycKhsDrVLLYVN7WAAAS,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,38YMOXR4MWQRI7KIIM0D01VRFUY6W9,A35UAZ5IKU14XW,Approved,Mon Jun 29 13:41:31 PDT 2020,Mon Jun 29 14:12:57 PDT 2020,Thu Jul 02 14:12:57 PDT 2020,Tue Jun 30 01:46:13 PDT 2020,,,1886,100% (1/1),100% (1/1),100% (1/1),nPHY9Bjf7DG9oTfHAAAP,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,3CFVK00FWNCB7D8JE8TBRQEBHPX6LN,A17W9OQEPJHLOQ,Approved,Mon Jun 29 16:19:50 PDT 2020,Mon Jun 29 17:28:24 PDT 2020,Thu Jul 02 17:28:24 PDT 2020,Tue Jun 30 01:46:13 PDT 2020,,,4114,100% (4/4),100% (4/4),100% (4/4),m9nbP0jLatypuGK7AAAU,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,3F1567XTNYW9GTQU4K4JSM47HV59Q1,A1Z2QEEPKEK1X1,Approved,Mon Jun 29 15:18:35 PDT 2020,Mon Jun 29 16:18:18 PDT 2020,Thu Jul 02 16:18:18 PDT 2020,Tue Jun 30 01:46:13 PDT 2020,,,3583,100% (1/1),100% (1/1),100% (1/1),ffrNtwcHHl8j1ah2AAAT,,
3087LXLJ6N7R6QFE065VZS3AH360F7,3NN44GVSBJO87LYI800E40JGVKJGFO,Challenging Science Game - Team up with another worker and make up to $7 ($1.5 basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it now. NO SMARTPHONES or TABLETS PLEASE.,"experiment, team, psychology, survey",$1.50,Mon Jun 29 08:49:27 PDT 2020,20,BatchId:4097457;OriginalHitTemplateId:920937340;,7200,259200,Tue Jun 30 08:49:27 PDT 2020,,,3HMVI3QICLJ00QELRH6KQ2PQIRI1Y5,A1NFBKUYYVUYWF,Approved,Mon Jun 29 09:35:28 PDT 2020,Mon Jun 29 10:02:31 PDT 2020,Thu Jul 02 10:02:31 PDT 2020,Tue Jun 30 01:46:14 PDT 2020,,,1623,100% (2/2),100% (2/2),100% (2/2),JyvI2KbqZ1rQnBEbAAAB,,
