,Unnamed: 0,Unnamed: 0.1,token_id,rule_name,rule_description,prior_feedback,bound_vars,prior_resp,prior_resp_bonan,posterior_feedback,bound_vars_post,post_resp,post_resp_bonan,bn_check
0,0,0,wHjhL,Iota,one is blue,This radiation requires 1 blue.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'blue','colour'), 1, X)",bonan's rule,This radiation requires just 1 blue.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'blue','colour'), 1, X)",bonan's rule,0
1,1,1,wHjhL,Zeta,there is a red,The red cones emit this radiation.,[['x1']],"Z.exists(lambda x1: Z.equal(x1, 'red','colour'), X)",bonan's rule,This radiation requires a red cone.,[['x1']],"Z.exists(lambda x1: Z.equal(x1, 'red','colour'), X)",bonan's rule,0
2,2,2,wHjhL,Omega,all are blue OR small,There needs to be 2 small cones or 1 medium cone,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exactly(lambda x2: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x2,2,'size')),1,X),2,X)",bonan's rule,The radiation comes from 1 medium blue or 2 or more small cones.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exactly(lambda x2: Z.and_operator(Z.equal(x1,1,'size'),Z.and_operator(Z.equal(x2,2,'size'),Z.equal(x2,'blue','colour'))),1,X),2,X)",bonan's rule,0
3,3,3,wHjhL,Upsilon,none are upright,There needs to be 3 or less cones with 1 being a small blue,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.atmost(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),3,X),1,X)",bonan's rule,There must be a small blue cone and two reds touching,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')), Z.and_operator(Z.equal(x2,'red','colour'),Z.equal(x3,'red','colour'))),Z.hor_operator(x2,x3,'contact')),X),X),X)",bonan's rule,0
4,4,4,wHjhL,Kappa,at least one is blue AND small,This radiation comes from blue cones,[['x1']],"Z.exists(lambda x1: Z.equal(x1, 'blue','colour'), X)",bonan's rule,There must be at least one blue but there can not be three blues,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.atmost(lambda x2: Z.and_operator(Z.equal(x1, 'blue','colour'),Z.equal(x2,'blue','colour')),2,X),X)",bonan's rule,0
5,5,5,ZECTn,Iota,one is blue,There needs to be at least one blue triangle.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'blue','colour'), 1, X)",bonan's rule,There must be exactly one blue triangle.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'blue','colour'), 1, X)",bonan's rule,0
6,6,6,ZECTn,Zeta,there is a red,There must be at least one red triangle.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1, X)",bonan's rule,There must be at least one red triangle.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1, X)",bonan's rule,0
7,7,7,ZECTn,Upsilon,none are upright,There must be exactly one blue triangle.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'blue','colour'),1,X)",bonan's rule,There must be exactly one blue triangle laying on its side.,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1, 'blue','colour'), Z.not_operator(Z.equal(x1,'upright','orientation'))),1,X)",bonan's rule,0
8,8,8,ZECTn,Kappa,at least one is blue AND small,There must be at least one small blue triangle.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1, 'blue','colour'), Z.equal(x1, 1,'size')), 1, X)",bonan's rule,There must be at least one small blue triangle.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1, 'blue','colour'), Z.equal(x1, 1,'size')), 1, X)",bonan's rule,0
9,9,9,ZECTn,Omega,all are blue OR small,There must be at least one blue triangle.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'blue','colour'), 1, X)",bonan's rule,There must be no red triangles.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'red','colour')),X)",bonan's rule,0
10,10,10,qEOSD,Omega,all are blue OR small,No Big Triangles ,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1, 3,'size')), X)",bonan's rule,No big triangles and only 1 Medium Triangle,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.equal(x1,2,'size'),Z.not_operator(Z.equal(x2, 3,'size'))),X),1,X)",bonan's rule,0
11,11,11,qEOSD,Zeta,there is a red,Must have red cones ,[['x1']],"Z.exists(lambda x1: Z.equal(x1, 'red','colour'), X)",bonan's rule,Must be a red cone and waves will be emitted,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'red','colour'),2,X)",bonan's rule,0
12,12,13,qEOSD,Upsilon,none are upright,Two big reds touching ,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x2,'red','colour'),Z.equal(x2,3,'size'))), Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,Two big red cones touching along with one other big cone,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x2,'red','colour'),Z.equal(x2,3,'size'))), Z.hor_operator(x1,x2,'contact')), Z.equal(x3,3,'size')),X),X),2,X)",bonan's rule,0
13,16,23,rTu4H,Iota,one is blue,Any blue cone by itself or any blue cone touching a red or green cone,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.or_operator(Z.equal(x1,'blue','colour'),Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.or_operator(Z.equal(x2,'red','colour'),Z.equal(x2,'green','colour'))),Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,Any scene that involves a blue cone ,[['x1']],"Z.exists(lambda x1:Z.equal(x1,'blue','colour'),X)",bonan's rule,0
14,18,30,AYXpS,Kappa,at least one is blue AND small,There has to be at least one small blue cone,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There has to be at least one small blue cone. ,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
15,19,31,AYXpS,Iota,one is blue,There has to be exactly one medium blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),1,X)",bonan's rule,There has to be exactly one blue cone and it has to be medium,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),1,X)",bonan's rule,1
