,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_wsls_shared,q_wsls_difference,q_wsls_added,q_wsls_removed,e_wsls_shared,e_wsls_difference,e_wsls_added,e_wsls_removed,f_wsls_shared,f_wsls_difference,f_wsls_added,f_wsls_removed,r_wsls_shared,r_wsls_difference,r_wsls_added,r_wsls_removed,b_wsls_shared,b_wsls_difference,b_wsls_added,b_wsls_removed,rev_probs_wsls,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts,q_tn_shared,q_tn_difference,q_tn_added,q_tn_removed,e_tn_shared,e_tn_difference,e_tn_added,e_tn_removed,f_tn_shared,f_tn_difference,f_tn_added,f_tn_removed,r_tn_shared,r_tn_difference,r_tn_added,r_tn_removed,b_tn_shared,b_tn_difference,b_tn_added,b_tn_removed,rev_probs_tn,q_tnp_shared,q_tnp_difference,q_tnp_added,q_tnp_removed,e_tnp_shared,e_tnp_difference,e_tnp_added,e_tnp_removed,f_tnp_shared,f_tnp_difference,f_tnp_added,f_tnp_removed,r_tnp_shared,r_tnp_difference,r_tnp_added,r_tnp_removed,b_tnp_shared,b_tnp_difference,b_tnp_added,b_tnp_removed,rev_probs_tnp
0,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.986,0.009,0.007,0.0,0.992,0.008,0.0,0.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,-9.16417965175162,0.856,0.144,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.076474118694346,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,1.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0,0.997,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.178645061585481
1,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.944,0.056,0.0,0.0,0.921,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.983094459685834,0.996,0.004,0.0,0.0,0.914,0.086,0.0,0.0,0.904,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.99350521843161,1.0,0.0,0.0,0.0,0.988,0.012,0.0,0.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.9105,0.0895,0.0,0.0,0.8325,0.1675,0.0,0.0,0.8215,0.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.98045893648313
2,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size']",[],-17.958416686800806,"['Z.atleast', 'Z.exactly']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'colour']",[],-24.94313300691907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,1.144486692015209,0.18631178707224336,0.07224334600760456,0.2623574144486692,0.4600760456273764,0.33840304182509506,0.030418250950570342,0.5741444866920152,0.3269961977186312,0.13688212927756654,0.022813688212927757,0.8326996197718631,0.0,0.0,0.2661596958174905,0.0,0.33460076045627374,0.13688212927756654,0.22433460076045628,0.39543726235741444,-16.82537872922758,1.741,0.151,0.022,0.032,1.717,0.093,0.001,0.094,1.718,0.004,0.001,0.145,0.0,0.0,0.051,0.0,0.897,0.021,0.022,0.067,-17.23061666977781,0.0,0.0,0.0,1.0,0.129,0.129,0.0,0.871,0.129,0.129,0.0,0.871,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.871,-7.885744725413522,0.999,0.0,0.0,0.001,0.226,0.645,0.129,0.0,0.868,0.003,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,-6.986508079587494
3,"['Z.exactly', 'Z.atmost']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-19.057028976468914,"['Z.exists', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'colour']",['contact'],-36.022193889259434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.371010681238156,1.4519685039370078,0.09448818897637795,0.07244094488188976,0.15433070866141732,0.6377952755905512,0.5023622047244094,0.2346456692913386,0.30393700787401573,0.631496062992126,0.32598425196850395,0.14645669291338584,0.47086614173228347,0.0,0.0,0.2551181102362205,0.0,0.48031496062992124,0.08818897637795275,0.8188976377952756,0.1858267716535433,-18.380193542776627,1.675,0.209,0.02,0.038,1.472,0.236,0.096,0.085,1.48,0.084,0.078,0.167,0.0,0.0,0.1,0.0,0.739,0.011,0.319,0.065,-18.862050215848697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.371010681238156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.371010681238156
4,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,[],[],[],[],[],0.0,1.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.995,0.003,0.002,0.0,0.778,0.222,0.0,0.0,0.657,0.342,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.006,0.0,-6.984190983843127,1.0,0.0,0.0,0.0,0.684,0.306,0.01,0.0,0.641,0.349,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,-7.051070645349892,1.0,0.0,0.0,0.0,0.996,0.004,0.0,0.0,0.9585,0.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.996,0.004,0.0,0.0,0.9585,0.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
5,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,0.0,0.9865,0.0135,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,-8.51070807223215,0.98,0.013,0.007,0.0,0.873,0.127,0.0,0.0,0.834,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,-9.075975884451964,0.872,0.128,0.0,0.0,0.858,0.142,0.0,0.0,0.836,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.990651026037197,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
6,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.986,0.007,0.01,0.0,0.939,0.061,0.0,0.0,0.901,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,-9.117030004275792,0.942,0.058,0.0,0.0,0.922,0.078,0.0,0.0,0.91,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.012283473764969,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.947,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.963226669388533
7,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0045,0.9955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.0,-8.364772356613118,0.978,0.017,0.005,0.0,0.974,0.026,0.0,0.0,0.899,0.1,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.005,0.0,-9.142375216872681,0.872,0.128,0.0,0.0,0.984,0.016,0.0,0.0,0.953,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.074707373156501,0.0,1.0,0.0,0.0,0.5585,0.0,0.4415,0.0,0.0,0.5585,0.4415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4415,0.0,-11.275750091340619,1.0,0.0,0.0,0.0,0.5585,0.0,0.4415,0.0,0.5585,0.0,0.4415,0.0,0.0,0.0,0.0,0.0,0.5585,0.0,0.4415,0.0,-8.371010681238156
8,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.06804492890464,0.981,0.011,0.011,0.0,1.698,0.064,0.0,0.119,1.677,0.085,0.0,0.12,0.0,0.0,0.001,0.0,0.879,0.005,0.006,0.111,-14.331944721804309,0.965,0.035,0.0,0.0,1.59,0.216,0.0,0.097,1.706,0.1,0.0,0.097,0.0,0.0,0.0,0.0,0.903,0.0,0.0,0.097,-14.411047730285894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,0.9915,0.0,0.0,0.0085,0.355,0.645,0.0,0.0,0.671,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.01059051228742
9,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['colour'],[],-8.083328608786376,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.371010681238156,0.952,0.026,0.033,0.0,0.794,0.203,0.003,0.0,0.681,0.315,0.003,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.027,0.0,-9.072758474877245,0.83,0.17,0.0,0.0,0.747,0.233,0.02,0.0,0.723,0.257,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,-9.0967459525741,0.0,0.9875,0.0145,0.0,0.626,0.374,0.0,0.0,0.0005,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.743143021138011,0.394,0.5935,0.0145,0.0,0.4095,0.5905,0.0,0.0,0.435,0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-6.7362047738157225
