,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_wsls_shared,q_wsls_difference,q_wsls_added,q_wsls_removed,e_wsls_shared,e_wsls_difference,e_wsls_added,e_wsls_removed,f_wsls_shared,f_wsls_difference,f_wsls_added,f_wsls_removed,r_wsls_shared,r_wsls_difference,r_wsls_added,r_wsls_removed,b_wsls_shared,b_wsls_difference,b_wsls_added,b_wsls_removed,rev_probs_wsls,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts,q_tn_shared,q_tn_difference,q_tn_added,q_tn_removed,e_tn_shared,e_tn_difference,e_tn_added,e_tn_removed,f_tn_shared,f_tn_difference,f_tn_added,f_tn_removed,r_tn_shared,r_tn_difference,r_tn_added,r_tn_removed,b_tn_shared,b_tn_difference,b_tn_added,b_tn_removed,rev_probs_tn,q_tnp_shared,q_tnp_difference,q_tnp_added,q_tnp_removed,e_tnp_shared,e_tnp_difference,e_tnp_added,e_tnp_removed,f_tnp_shared,f_tnp_difference,f_tnp_added,f_tnp_removed,r_tnp_shared,r_tnp_difference,r_tnp_added,r_tnp_removed,b_tnp_shared,b_tnp_difference,b_tnp_added,b_tnp_removed,rev_probs_tnp
0,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size']",[],-17.958416686800806,"['Z.atleast', 'Z.exactly']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'colour']",[],-24.94313300691907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,1.0959409594095941,0.19557195571955718,0.12915129151291513,0.22509225092250923,0.45018450184501846,0.35424354243542433,0.01107011070110701,0.5904059040590406,0.35424354243542433,0.17712177121771217,0.007380073800738007,0.8265682656826568,0.0,0.0,0.23985239852398524,0.0,0.3173431734317343,0.15867158671586715,0.25461254612546125,0.3874538745387454,-16.79921096353591,1.736,0.168,0.017,0.031,1.708,0.09,0.001,0.1,1.71,0.006,0.001,0.148,0.0,0.0,0.048,0.0,0.892,0.01,0.025,0.083,-17.20807792795702,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.026463587087654,0.6885,0.3115,0.0,0.0,0.4195,0.5805,0.0,0.0,0.966,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,-6.997244041303296
1,"['Z.exactly', 'Z.atmost']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-19.057028976468914,"['Z.exists', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'colour']",['contact'],-36.022193889259434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.371010681238156,1.542622950819672,0.09016393442622951,0.05245901639344262,0.13114754098360656,0.6639344262295082,0.5065573770491804,0.30655737704918035,0.2540983606557377,0.6,0.36065573770491804,0.20655737704918034,0.43934426229508194,0.0,0.0,0.28524590163934427,0.0,0.47540983606557374,0.05573770491803279,0.9459016393442623,0.16557377049180327,-18.884678839189952,1.688,0.208,0.015,0.037,1.535,0.225,0.05,0.087,1.537,0.079,0.038,0.17,0.0,0.0,0.095,0.0,0.763,0.011,0.226,0.071,-18.495395208254273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.371010681238156,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.272398392570043
2,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,[],[],[],[],[],0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.995,0.003,0.002,0.0,0.794,0.206,0.0,0.0,0.665,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,-6.983785518735019,0.999,0.001,0.0,0.0,0.661,0.331,0.008,0.0,0.629,0.363,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,-7.04039704957666,1.0,0.0,0.0,0.0,0.9995,0.0005,0.0,0.0,0.9995,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.9995,0.0005,0.0,0.0,0.9995,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
3,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.976,0.016,0.01,0.0,0.891,0.109,0.0,0.0,0.844,0.155,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.01,0.0,-9.082331992123661,0.846,0.154,0.0,0.0,0.848,0.152,0.0,0.0,0.837,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.97053620675558,0.0,1.0,0.0,0.0,0.9965,0.0035,0.0,0.0,0.996,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984513587564212,1.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,0.9945,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
4,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.371010681238156,0.976,0.02,0.004,0.0,0.975,0.025,0.0,0.0,0.873,0.126,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.005,0.0,-9.143734409169044,0.834,0.166,0.0,0.0,0.99,0.009,0.001,0.0,0.961,0.038,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-9.064401974923381,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.371010681238156,0.2395,0.7605,0.0,0.0,0.339,0.661,0.0,0.0,0.2395,0.7605,0.0,0.0,0.0,0.0,0.0,0.0,0.0785,0.0,0.7605,0.322,-7.670486976557611
5,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['colour'],[],-8.083328608786376,0.0,1.0,0.0,0.0,0.1265,0.8735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.933424983942583,0.952,0.028,0.029,0.0,0.782,0.211,0.007,0.0,0.664,0.328,0.007,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.032,0.0,-9.088599053950992,0.837,0.163,0.0,0.0,0.74,0.244,0.016,0.0,0.709,0.275,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,-9.068453738185656,0.0,1.0,0.0,0.0,0.688,0.312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.705756325739849,0.0,1.0,0.0,0.0,0.475,0.525,0.0,0.0,0.5275,0.4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.696633360807416
6,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,"['Z.exactly', 'Z.forall']","['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size']",[],-19.057028976468914,0.536,0.464,0.0,0.0,0.0315,0.9685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.997,-6.991307993850274,0.99,0.006,0.004,0.0,0.891,0.109,0.0,0.0,0.934,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.901,0.0,0.0,0.099,-7.96134199164508,0.951,0.049,0.0,0.0,0.839,0.161,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.0,0.0,0.045,-8.043830682398463,0.131,0.869,0.0,0.0,0.123,0.877,0.0,0.0,0.998,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.98,-7.041033228912791,0.837,0.163,0.0,0.0,0.4325,0.5675,0.0,0.0,0.998,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0045,-6.989660075417272
7,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,0.997,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.983905389902049,0.994,0.006,0.0,0.0,0.996,0.004,0.0,0.0,0.996,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.997899667588283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.953,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.969471769530261
8,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'size']",['contact'],-36.427658998367605,"['Z.exactly', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size', 'size']",['contact'],-45.20413478771392,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-8.371010681238156,1.837,0.019,0.026,0.046,3.42,0.27,0.001,0.699,2.498,0.134,0.0,0.707,0.765,0.0,0.124,0.115,2.942,0.05,0.07,0.53,-31.39623129277891,1.897,0.045,0.007,0.022,4.362,0.158,0.002,0.232,3.269,0.051,0.001,0.28,0.893,0.0,0.078,0.029,3.609,0.003,0.01,0.204,-34.63708060049917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-8.371010681238156,0.2515,0.7485,0.0,0.0,0.926,0.074,0.0,0.0,0.789,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.972,0.0,-7.602166062373773
9,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour', 'colour', 'colour']",['contact'],-34.23043442003138,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-34.23043442003138,1.6624472573839661,0.03375527426160337,0.0949367088607595,0.056962025316455694,1.8417721518987342,0.2890295358649789,0.0,1.6835443037974684,0.959915611814346,0.2974683544303797,0.029535864978902954,1.4915611814345993,0.5,0.0,0.14345991561181434,0.3649789029535865,1.5506329113924051,0.08649789029535865,0.12447257383966245,1.3016877637130801,-29.04109818014458,1.898,0.022,0.016,0.024,4.164,0.151,0.0,0.372,3.242,0.078,0.006,0.332,0.848,0.0,0.039,0.113,3.351,0.005,0.036,0.327,-31.768450016626133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,-6.984716320118266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
