,rulestring,productions,prod_l,prod_d,li,n_pds,results,gt_trials
0,"ob.atmost(lambda x1: ob.not_operator(ob.and_operator(ob.not_operator(ob.not_operator(ob.and_operator(ob.equal(x1, 'green','colour'),ob.equal(x1, 'no','grounded')))),ob.equal(x1, 'no','grounded'))), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [2, 1, 2, 0, 2, 1, 0, 0], 'M': [0], 'J': [0, 0], 'C': [0, 0, 0], 'D': [6, 0, 6], 'D6': [0, 0], 'D0': [2]}","[[0, 0, 1], [1, 0], [3, 2, 3], [3, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [2, 0], [1, 0, 0, 0, 0, 0, 2], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [2, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [2, 1, 2, 0, 2, 1, 0, 0], 'M': [0], 'J': [0, 0], 'C': [0, 0, 0], 'D': [6, 0, 6], 'D6': [0, 0], 'D0': [2]}",5.512723840846162e-09,23,"[False, False, False, False, False, False, False, False]","[True, True, True, True, False, True, True, False]"
1,"ob.atmost(lambda x1: ob.not_operator(ob.and_operator(ob.not_operator(ob.not_operator(ob.and_operator(ob.equal(x1, 'green','colour'),ob.equal(x1, 'no','grounded')))),ob.equal(x1, 'no','grounded'))), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [2, 1, 2, 0, 2, 1, 0, 0], 'M': [0], 'J': [0, 0], 'C': [0, 0, 0], 'D': [6, 0, 6], 'D6': [0, 0], 'D0': [2]}","[[0, 0, 1], [1, 0], [3, 2, 3], [3, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [2, 0], [1, 0, 0, 0, 0, 0, 2], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [2, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [2, 1, 2, 0, 2, 1, 0, 0], 'M': [0], 'J': [0, 0], 'C': [0, 0, 0], 'D': [6, 0, 6], 'D6': [0, 0], 'D0': [2]}",5.512723840846162e-09,23,"[False, False, False, False, False, False, False, False]","[True, True, True, True, False, True, True, False]"
2,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
3,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
4,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
5,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
6,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
7,"ob.atmost(lambda x1: ob.equal(x1, 'green','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [2]}",0.0030864197438271604,8,"[True, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
8,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [1]}",0.0030864197438271604,8,"[False, True, True, True, False, True, True, False]","[True, True, True, True, False, True, True, False]"
9,"ob.exactly(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [2], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 0, 1], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [2], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}",0.0030864197438271604,8,"[False, False, False, False, False, True, False, False]","[True, True, True, True, False, True, True, False]"
