,rulestring,productions,prod_l,prod_d,li,n_pds,results,gt_trials
0,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'no','grounded')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}",7.144490126314586e-06,15,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
1,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'no','grounded')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}",7.144490126314586e-06,15,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
2,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'no','grounded')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}",7.144490126314586e-06,15,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
3,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'no','grounded')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [0, 6], 'D0': [2], 'D6': [0]}",7.144490126314586e-06,15,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
4,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 3,'size')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [1], 'D0': [2], 'D1': [2]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [1], 'D0': [2], 'D1': [2]}",1.1907483543857644e-06,16,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
5,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 3,'size')),ob.equal(x1, 'green','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [1], 'D0': [2], 'D1': [2]}","[[0, 0, 1], [1, 0], [2, 1, 1], [2, 0, 0, 0, 0], [0, 0, 1], [0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0, 0], 'D': [1], 'D0': [2], 'D1': [2]}",1.1907483543857644e-06,16,"[False, True, True, True, False, True, True, True]","[True, True, True, False, False, False, True, True]"
6,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'lhs','orientation')),ob.equal(x1, 'upright','orientation')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0], 'D': [5, 5], 'D5': [0, 1]}","[[0, 0, 1], [1, 0], [2, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0], 'D': [5, 5], 'D5': [0, 1]}",2.67918379736797e-06,15,"[False, False, False, False, False, True, True, False]","[True, True, True, False, False, False, True, True]"
7,"ob.atmost(lambda x1: ob.and_operator(ob.not_operator(ob.equal(x1, 'lhs','orientation')),ob.equal(x1, 'upright','orientation')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0], 'D': [5, 5], 'D5': [0, 1]}","[[0, 0, 1], [1, 0], [2, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [1, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [1, 2, 0, 0], 'M': [0], 'J': [0], 'C': [0], 'D': [5, 5], 'D5': [0, 1]}",2.67918379736797e-06,15,"[False, False, False, False, False, True, True, False]","[True, True, True, False, False, False, True, True]"
8,"ob.atmost(lambda x1: ob.or_operator(ob.equal(x1, 'lhs','orientation'),ob.equal(x1, 'red','colour')), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0, 0], 'J': [1], 'C': [0, 0], 'M': [0], 'D': [5, 0], 'D5': [1], 'D0': [0]}","[[0, 0, 1], [1, 0], [2, 0, 0], [2, 0, 0, 0, 0], [1, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0], [0, 0], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 1], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0, 0], 'J': [1], 'C': [0, 0], 'M': [0], 'D': [5, 0], 'D5': [1], 'D0': [0]}",1.0716735200188615e-05,14,"[True, True, True, False, True, True, True, False]","[True, True, True, False, False, False, True, True]"
9,"ob.atmost(lambda x1: ob.equal(x1, 1,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0, 0], 'J': [1], 'C': [0, 0], 'M': [0], 'D': [1], 'D1': [0]}","[[0, 0, 1], [1, 0], [2, 0, 0], [2, 0, 0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 1], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0, 0], 'J': [1], 'C': [0, 0], 'M': [0], 'D': [1], 'D1': [0]}",0.00017146776320301784,11,"[False, True, True, False, False, True, True, True]","[True, True, True, False, False, False, True, True]"
