,from,to,toix,li
0,S,"Z.forall(lambda xN: A,X)",1.0,0.333333333
1,A,B,0.0,0.5
2,B,Z.not_operator(B),2.0,0.333333333
3,B,Z.not_operator(B),2.0,0.333333333
4,B,"J(B,B)",1.0,0.333333333
5,J,Z.or_operator,1.0,0.5
6,B,"J(B,B)",1.0,0.333333333
7,B,Z.not_operator(B),2.0,0.333333333
8,J,Z.and_operator,0.0,0.5
9,B,"J(B,B)",1.0,0.333333333
10,B,C,0.0,0.333333333
11,C,"Z.equal(x1, D)",0.0,1.0
12,B,C,0.0,0.333333333
13,C,"Z.equal(x1, D)",0.0,1.0
14,J,Z.or_operator,1.0,0.5
15,B,Z.not_operator(B),2.0,0.333333333
16,B,Z.not_operator(B),2.0,0.333333333
17,Ef,colour,0.0,1.0
18,Ev,'blue',1.0,0.3333333333333333
19,Ef,colour,0.0,1.0
20,Ev,'blue',1.0,0.3333333333333333
21,B,Z.not_operator(B),2.0,0.333333333
22,B,C,0.0,1.0
23,C,"Z.equal(x1, D)",0.0,1.0
24,B,C,0.0,1.0
25,C,"Z.equal(x1, D)",0.0,1.0
26,Ef,colour,0.0,1.0
27,Ev,'green',2.0,0.3333333333333333
28,Ef,colour,0.0,1.0
29,Ev,'green',2.0,0.3333333333333333
