,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts
0,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.315,0.02,0.015,0.075,1.405,0.11,0.0,0.34,1.275,0.1,0.0,0.335,0.105,0.0,0.035,0.04,0.775,0.0,0.03,0.36,-14.238719850317054,1.255,0.105,0.03,0.045,1.6,0.075,0.005,0.22,1.445,0.05,0.005,0.215,0.11,0.0,0.02,0.025,0.915,0.01,0.04,0.23,-14.238719850317054
1,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.33,0.025,0.02,0.03,1.415,0.085,0.0,0.275,1.375,0.07,0.0,0.3,0.035,0.0,0.04,0.015,0.81,0.005,0.02,0.33,-13.711537589593018,1.295,0.05,0.01,0.035,1.48,0.075,0.0,0.21,1.435,0.045,0.0,0.215,0.045,0.0,0.01,0.005,0.875,0.01,0.03,0.22,-13.711537589593018
2,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size']",[],-17.958416686800806,"['Z.atleast', 'Z.exactly']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'colour']",[],-24.94313300691907,1.19,0.03,0.03,0.02,1.35,0.105,0.0,0.205,1.25,0.08,0.01,0.22,0.08,0.0,0.04,0.035,0.695,0.02,0.02,0.215,-12.929594660544735,1.16,0.05,0.01,0.035,1.41,0.065,0.0,0.19,1.295,0.05,0.0,0.19,0.1,0.0,0.01,0.015,0.71,0.0,0.02,0.21,-12.929594660544735
3,"['Z.exactly', 'Z.atmost']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-19.057028976468914,"['Z.exists', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'colour']",['contact'],-36.022193889259434,1.35,0.05,0.05,0.04,1.53,0.085,0.0,0.285,1.435,0.12,0.0,0.295,0.06,0.0,0.03,0.02,0.9,0.03,0.04,0.285,-15.320567495423552,1.42,0.08,0.005,0.025,1.645,0.09,0.0,0.185,1.545,0.065,0.0,0.205,0.065,0.0,0.03,0.01,0.96,0.0,0.035,0.225,-15.320567495423552
4,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,[],[],[],[],[],0.0,1.2,0.01,0.005,0.05,1.31,0.075,0.0,0.22,1.275,0.065,0.005,0.225,0.035,0.0,0.025,0.025,0.71,0.01,0.0,0.255,-12.376781593350733,1.225,0.025,0.005,0.03,1.385,0.08,0.005,0.18,1.335,0.055,0.005,0.185,0.035,0.0,0.02,0.02,0.735,0.0,0.02,0.195,-12.376781593350733
5,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.33,0.02,0.025,0.065,1.425,0.06,0.0,0.335,1.27,0.08,0.005,0.325,0.115,0.0,0.025,0.04,0.775,0.035,0.02,0.335,-14.455515504391888,1.33,0.08,0.015,0.03,1.585,0.065,0.0,0.265,1.44,0.04,0.0,0.255,0.12,0.0,0.02,0.035,0.925,0.0,0.01,0.27,-14.455515504391888
6,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.27,0.045,0.015,0.035,1.41,0.08,0.0,0.27,1.385,0.085,0.0,0.26,0.02,0.0,0.01,0.02,0.79,0.005,0.005,0.31,-13.69897105897147,1.29,0.03,0.0,0.05,1.51,0.095,0.0,0.175,1.46,0.065,0.0,0.19,0.025,0.0,0.025,0.01,0.89,0.005,0.03,0.185,-13.69897105897147
7,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,1.205,0.04,0.015,0.04,1.365,0.075,0.0,0.26,1.26,0.09,0.015,0.25,0.09,0.0,0.005,0.03,0.725,0.015,0.025,0.25,-13.118516787427659,1.275,0.045,0.0,0.015,1.43,0.065,0.0,0.21,1.325,0.04,0.005,0.21,0.09,0.0,0.02,0.025,0.775,0.005,0.01,0.21,-13.118516787427659
8,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.285,0.05,0.035,0.085,1.385,0.09,0.0,0.365,1.285,0.085,0.0,0.385,0.065,0.0,0.035,0.015,0.775,0.01,0.06,0.355,-14.320373574322472,1.35,0.08,0.015,0.035,1.55,0.115,0.0,0.23,1.425,0.06,0.0,0.26,0.06,0.0,0.05,0.02,0.915,0.0,0.01,0.23,-14.320373574322472
9,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['colour'],[],-8.083328608786376,1.185,0.02,0.01,0.03,1.325,0.055,0.0,0.195,1.25,0.08,0.005,0.2,0.03,0.0,0.02,0.02,0.67,0.005,0.005,0.2,-12.251136548364546,1.18,0.06,0.01,0.015,1.38,0.055,0.0,0.15,1.345,0.045,0.005,0.16,0.04,0.0,0.015,0.01,0.7,0.0,0.005,0.165,-12.251136548364546
