,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_wsls_shared,q_wsls_difference,q_wsls_added,q_wsls_removed,e_wsls_shared,e_wsls_difference,e_wsls_added,e_wsls_removed,f_wsls_shared,f_wsls_difference,f_wsls_added,f_wsls_removed,r_wsls_shared,r_wsls_difference,r_wsls_added,r_wsls_removed,b_wsls_shared,b_wsls_difference,b_wsls_added,b_wsls_removed,rev_probs_wsls,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts,q_tn_shared,q_tn_difference,q_tn_added,q_tn_removed,e_tn_shared,e_tn_difference,e_tn_added,e_tn_removed,f_tn_shared,f_tn_difference,f_tn_added,f_tn_removed,r_tn_shared,r_tn_difference,r_tn_added,r_tn_removed,b_tn_shared,b_tn_difference,b_tn_added,b_tn_removed,rev_probs_tn,q_tnp_shared,q_tnp_difference,q_tnp_added,q_tnp_removed,e_tnp_shared,e_tnp_difference,e_tnp_added,e_tnp_removed,f_tnp_shared,f_tnp_difference,f_tnp_added,f_tnp_removed,r_tnp_shared,r_tnp_difference,r_tnp_added,r_tnp_removed,b_tnp_shared,b_tnp_difference,b_tnp_added,b_tnp_removed,rev_probs_tnp
0,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.973,0.024,0.004,0.0,0.98,0.02,0.0,0.0,0.976,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,-9.146719638160588,0.874,0.126,0.0,0.0,0.953,0.047,0.0,0.0,0.942,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,-9.043567866011443,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.5795,0.0,0.0,0.4205,0.932,0.068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,-10.52752777885699
1,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.999,0.0,0.001,0.0,0.956,0.044,0.0,0.0,0.939,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.986102614479385,0.996,0.004,0.0,0.0,0.937,0.063,0.0,0.0,0.917,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,-7.003392729029623,1.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.9875,0.0125,0.0,0.0,0.9875,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266
2,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.974,0.017,0.011,0.0,0.935,0.065,0.0,0.0,0.901,0.098,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.0,-9.108071206927653,0.956,0.044,0.0,0.0,0.915,0.085,0.0,0.0,0.896,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,-9.054488321859605,0.0,0.8675,0.1555,0.0,0.8275,0.1725,0.0,0.0,0.813,0.167,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.033,0.0,-7.181273062556209,0.8225,0.045,0.1555,0.0,0.8275,0.1725,0.0,0.0,0.7865,0.1935,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.033,0.004,-6.978365943908072
3,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.06804492890464,0.963,0.028,0.011,0.0,1.627,0.039,0.0,0.167,1.627,0.039,0.0,0.168,0.0,0.0,0.001,0.0,0.832,0.006,0.005,0.157,-13.985574432522295,0.962,0.038,0.0,0.0,1.623,0.133,0.0,0.122,1.674,0.082,0.0,0.122,0.0,0.0,0.0,0.0,0.869,0.007,0.012,0.112,-14.277653841127561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,0.864,0.0,0.0,0.136,0.268,0.732,0.0,0.0,0.3615,0.5025,0.136,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,-6.9015240633515065
4,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.06804492890464,0.8664495114006515,0.06514657980456026,0.09120521172638436,0.0,0.254071661237785,0.13029315960912052,0.0,0.8078175895765473,0.21172638436482086,0.16612377850162866,0.0,0.8273615635179153,0.0,0.0,0.019543973941368076,0.0,0.18241042345276873,0.02280130293159609,0.02280130293159609,0.7752442996742671,-13.514632865561765,0.968,0.032,0.0,0.0,1.512,0.138,0.0,0.175,1.584,0.066,0.0,0.175,0.0,0.0,0.0,0.0,0.817,0.02,0.011,0.153,-13.96763843496835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,0.4945,0.483,0.0,0.0225,0.294,0.706,0.0,0.0,0.987,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.02877077511777
5,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.984716320118266,0.7992327365728901,0.10741687979539642,0.13554987212276215,0.0,0.5179028132992327,0.2442455242966752,0.0025575447570332483,0.6163682864450127,0.41687979539641945,0.3350383631713555,0.0012787723785166241,0.6355498721227621,0.0,0.0,0.020460358056265986,0.0,0.35805626598465473,0.028132992327365727,0.0792838874680307,0.5728900255754475,-12.705573676560938,0.819,0.181,0.0,0.0,1.018,0.288,0.005,0.342,1.115,0.191,0.005,0.342,0.0,0.0,0.0,0.0,0.585,0.02,0.083,0.32,-13.580187607215334,0.0,0.359,0.971,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.098878738481012,0.359,0.0,0.971,0.0,0.2805,0.714,0.0,0.0055,0.039,0.9555,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,-7.032194245161147
6,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.997,0.003,0.0,0.0,1.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.174943759611368,0.975,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.126604818887973,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,0.7435,0.0,0.0,0.2565,0.764,0.236,0.0,0.0,0.7545,0.2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,-7.178823588675621
7,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.994,0.006,0.0,0.0,0.999,0.001,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.170954775562803,0.967,0.033,0.0,0.0,0.999,0.001,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.11053109965806,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.529628015545648,0.406,0.3905,0.0,0.2035,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.662443874519085
8,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.181940898454485,0.989,0.009,0.002,0.0,0.92,0.08,0.0,0.0,0.896,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,-9.117410455439519,0.969,0.031,0.0,0.0,0.893,0.107,0.0,0.0,0.862,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,-9.054501872876983,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.984716320118266,1.0,0.0,0.0,0.0,0.5895,0.4105,0.0,0.0,0.038,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8186335289830895
9,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.371010681238156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.001,-8.36921892176893,0.997,0.003,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.008,0.0,-8.379799579547504,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.371010681238156,0.8965,0.1035,0.0,0.0,1.0,0.0,0.0,0.0,0.8965,0.1035,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.1035,0.105,-8.528330610341003
